symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price,volume
0,106.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,33,9095.0,582089.3
0,85.0,honda,gas,std,four,sedan,fwd,front,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,33,8845.0,618691.9280000001
0,85.0,honda,gas,std,four,sedan,fwd,front,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,33,10295.0,593071.2500000001
0,85.0,honda,gas,std,four,sedan,fwd,front,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,28,12945.0,618691.9280000001
1,107.0,honda,gas,std,two,sedan,fwd,front,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,31,10345.0,569190.6
0,113.16666666666667,isuzu,gas,std,four,sedan,rwd,front,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,29,6785.0,564385.4099999999
2,125.6896551724138,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,29,11048.0,578430.928
0,145.0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,19,32250.0,733506.0479999998
0,113.16666666666667,jaguar,gas,std,four,sedan,rwd,front,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,19,35550.0,733506.0479999998
0,113.16666666666667,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,17,36000.0,646926.1559999998
1,104.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,5195.0,552589.302
1,104.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,38,6095.0,552589.302
1,104.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,38,6795.0,552589.302
1,113.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,38,6695.0,579333.0960000001
1,113.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,38,7395.0,579333.0960000001
1,129.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,32,8845.0,634932.6900000001
0,115.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,32,8495.0,656215.3500000001
1,129.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,32,10595.0,634932.6900000001
0,115.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,32,10245.0,656215.3500000001
0,115.0,mazda,gas,std,four,hatchback,fwd,front,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,32,11245.0,656215.3500000001
0,118.0,mazda,gas,std,four,sedan,rwd,front,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,27,18280.0,629272.0
0,113.16666666666667,mazda,diesel,std,four,sedan,rwd,front,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,39,18344.0,629272.0
-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,25,25552.0,758245.255
-1,93.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,25,28248.0,787769.849
0,93.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,25,28176.0,723650.625
-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,25,31600.0,817837.446
-1,85.6,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,18,34184.0,820742.73
3,142.0,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,18,35056.0,645726.42
0,113.16666666666667,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,16,40960.0,846007.6590000001
1,128.5744680851064,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,16,45400.0,794568.9599999998
1,128.5744680851064,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,24,16503.0,664789.76
2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,41,5389.0,514610.0960000001
2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6189.0,514610.0960000001
2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6669.0,514610.0960000001
1,161.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,30,7689.0,509815.592
3,153.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,30,9959.0,558921.48
3,153.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,32,8499.0,558921.48
3,168.64705882352942,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,24,12629.0,576454.632
3,168.64705882352942,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,24,14869.0,576454.632
3,168.64705882352942,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,24,14489.0,576454.632
1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,32,6989.0,581787.9360000001
1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,32,8189.0,581787.9360000001
1,125.0,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,30,9279.0,581787.9360000001
-1,137.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,30,9279.0,581787.9360000001
1,128.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,5499.0,574764.63
1,128.0,nissan,diesel,std,two,sedan,fwd,front,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,50,7099.0,574764.63
1,128.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,6649.0,574764.63
1,122.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,6849.0,574764.63
1,103.0,nissan,gas,std,four,wagon,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,7349.0,580943.6599999999
1,128.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,7299.0,574764.63
1,128.0,nissan,gas,std,two,hatchback,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,7799.0,563129.424
1,122.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,7499.0,574764.63
1,103.0,nissan,gas,std,four,wagon,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,7999.0,580943.6599999999
2,168.0,nissan,gas,std,two,hardtop,fwd,front,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,37,8249.0,552247.696
0,106.0,nissan,gas,std,four,hatchback,fwd,front,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,34,8949.0,618420.6960000001
0,106.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,34,9549.0,618420.6960000001
0,128.0,nissan,gas,std,four,sedan,fwd,front,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,22,13499.0,665776.055
0,108.0,nissan,gas,std,four,wagon,fwd,front,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,22,14399.0,688677.99
0,108.0,nissan,gas,std,four,sedan,fwd,front,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,25,13499.0,676402.09
3,194.0,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,25,17199.0,576049.341
3,194.0,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,23,19699.0,576049.341
1,231.0,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,25,18399.0,602371.4550000001
0,161.0,peugot,gas,std,four,sedan,rwd,front,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,24,11900.0,724074.876
0,161.0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,33,13200.0,724074.876
0,113.16666666666667,peugot,gas,std,four,wagon,rwd,front,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,24,12440.0,798599.4120000001
0,113.16666666666667,peugot,diesel,turbo,four,wagon,rwd,front,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,13860.0,798599.4120000001
0,161.0,peugot,gas,std,four,sedan,rwd,front,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,24,15580.0,724074.876
0,161.0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,33,16900.0,724074.876
0,113.16666666666667,peugot,gas,std,four,wagon,rwd,front,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,24,16695.0,771389.8920000001
0,113.16666666666667,peugot,diesel,turbo,four,wagon,rwd,front,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,17075.0,798599.4120000001
0,161.0,peugot,gas,std,four,sedan,rwd,front,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,24,16630.0,724074.876
0,161.0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,33,17950.0,724074.876
0,161.0,peugot,gas,turbo,four,sedan,rwd,front,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,24,18150.0,714090.1599999999
1,119.0,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,41,5572.0,509815.592
1,119.0,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,30,7957.0,509815.592
1,154.0,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6229.0,507808.444
1,154.0,plymouth,gas,std,four,sedan,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,38,6692.0,542225.992
1,154.0,plymouth,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,38,7609.0,542225.992
-1,74.0,plymouth,gas,std,four,wagon,fwd,front,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,30,8921.0,674493.7679999999
3,168.64705882352942,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,24,12764.0,576454.632
3,186.0,porsche,gas,std,two,hatchback,rwd,front,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,27,22018.0,579100.674
3,168.64705882352942,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,25,32528.0,566490.6
3,168.64705882352942,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,25,34028.0,566490.6
3,168.64705882352942,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,25,37028.0,566490.6
3,150.0,saab,gas,std,two,hatchback,fwd,front,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,28,11850.0,696139.29
2,104.0,saab,gas,std,four,sedan,fwd,front,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,28,12170.0,696139.29
3,150.0,saab,gas,std,two,hatchback,fwd,front,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,28,15040.0,696139.29
2,104.0,saab,gas,std,four,sedan,fwd,front,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,28,15510.0,696139.29
3,150.0,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,26,18150.0,696139.29
2,104.0,saab,gas,turbo,four,sedan,fwd,front,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,26,18620.0,696139.29
2,83.0,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,36,5118.0,534178.6020000001
2,83.0,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,31,7053.0,539279.028
2,83.0,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,31,7603.0,558990.718
0,102.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4800.0,37,7126.0,590562.0
0,102.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,33,7775.0,590562.0
0,102.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,32,9960.0,590562.0
0,102.0,subaru,gas,std,four,sedan,4wd,front,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,25,9233.0,610809.8400000001
0,102.0,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,29,11259.0,610809.8400000001
0,89.0,subaru,gas,std,four,wagon,fwd,front,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,32,7463.0,601385.7000000001
0,89.0,subaru,gas,std,four,wagon,fwd,front,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,31,10198.0,601385.7000000001
0,85.0,subaru,gas,std,four,wagon,4wd,front,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,29,8013.0,623303.856
0,85.0,subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,23,11694.0,623303.856
1,87.0,toyota,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,39,5348.0,550085.94
1,87.0,toyota,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,38,6338.0,550085.94
1,74.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,38,6488.0,550085.94
0,77.0,toyota,gas,std,four,wagon,fwd,front,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,37,6918.0,637861.572
0,81.0,toyota,gas,std,four,wagon,4wd,front,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,32,7898.0,637861.572
0,91.0,toyota,gas,std,four,wagon,4wd,front,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,32,8778.0,637861.572
0,91.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,37,6938.0,567615.1600000001
0,91.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,37,7198.0,565473.216
0,91.0,toyota,diesel,std,four,sedan,fwd,front,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,36,7898.0,567615.1600000001
0,91.0,toyota,diesel,std,four,hatchback,fwd,front,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,47,7788.0,565473.216
0,91.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,47,7738.0,567615.1600000001
0,91.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,34,8358.0,565473.216
0,91.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,34,9258.0,565473.216
1,168.0,toyota,gas,std,two,sedan,rwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,34,8058.0,567911.6799999999
1,168.0,toyota,gas,std,two,hatchback,rwd,front,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,34,8238.0,567911.6799999999
1,168.0,toyota,gas,std,two,sedan,rwd,front,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,29,9298.0,567911.6799999999
1,168.0,toyota,gas,std,two,hatchback,rwd,front,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,29,9538.0,567911.6799999999
2,134.0,toyota,gas,std,two,hardtop,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,30,8449.0,601053.44
2,134.0,toyota,gas,std,two,hardtop,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,30,9639.0,601053.44
2,134.0,toyota,gas,std,two,hatchback,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,30,9989.0,601053.44
2,134.0,toyota,gas,std,two,hardtop,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,30,11199.0,601053.44
2,134.0,toyota,gas,std,two,hatchback,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,30,11549.0,601053.44
2,134.0,toyota,gas,std,two,convertible,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,30,17669.0,612612.1599999998
-1,65.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,34,8948.0,641089.2599999999
-1,65.0,toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,110,idi,3.27,3.35,22.5,73.0,4500.0,33,10698.0,641089.2599999999
-1,65.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,32,9988.0,629411.86
-1,65.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,32,10898.0,641089.2599999999
-1,65.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,32,11248.0,629411.86
3,197.0,toyota,gas,std,two,hatchback,rwd,front,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,24,16558.0,645993.4
3,197.0,toyota,gas,std,two,hatchback,rwd,front,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,24,15998.0,645993.4
-1,90.0,toyota,gas,std,four,sedan,rwd,front,dohc,six,171,mpfi,3.27,3.35,9.2,156.0,5200.0,24,15690.0,675638.67
-1,85.6,toyota,gas,std,four,wagon,rwd,front,dohc,six,161,mpfi,3.27,3.35,9.2,156.0,5200.0,24,15750.0,675638.67
2,122.0,volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,46,7775.0,626421.6950000001
2,122.0,volkswagen,gas,std,two,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,34,7975.0,626421.6950000001
2,94.0,volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,46,7995.0,626421.6950000001
2,94.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,34,8195.0,626421.6950000001
2,94.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,34,8495.0,626421.6950000001
2,94.0,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,42,9495.0,626421.6950000001
2,94.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,10.0,100.0,5500.0,32,9995.0,626421.6950000001
3,168.64705882352942,volkswagen,gas,std,two,convertible,fwd,front,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,29,11595.0,568624.5360000001
3,256.0,volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,29,9980.0,545086.72
0,113.16666666666667,volkswagen,gas,std,four,sedan,fwd,front,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,24,13295.0,664251.4380000001
